Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Common.Name,Species.Code,Confidence,Begin.Path,File.Offset..s.,deployment_ID,Location,Site,config,datetime_UTC,datetime_local,latitude,longitude
26000,Spectrogram 1,1,323610,323613,0,15000,Ridgway's Rail,ridrai1,0.8779,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,6,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
26002,Spectrogram 1,1,323616,323619,0,15000,Ridgway's Rail,ridrai1,0.5839,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,12,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
26004,Spectrogram 1,1,323622,323625,0,15000,Ridgway's Rail,ridrai1,0.8448,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,18,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
26006,Spectrogram 1,1,323628,323631,0,15000,Ridgway's Rail,ridrai1,0.9239,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,24,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
26008,Spectrogram 1,1,323634,323637,0,15000,Ridgway's Rail,ridrai1,0.8891,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,30,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
26010,Spectrogram 1,1,323640,323643,0,15000,Ridgway's Rail,ridrai1,0.8149,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,36,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
26012,Spectrogram 1,1,323646,323649,0,15000,Ridgway's Rail,ridrai1,0.378,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,42,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
26014,Spectrogram 1,1,323652,323655,0,15000,Ridgway's Rail,ridrai1,0.734,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_224900.WAV,48,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:49:00Z,2025-05-19T22:49:00Z,32.6396792,-117.1111495
26016,Spectrogram 1,1,323662,323665,0,15000,Ridgway's Rail,ridrai1,0.5556,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_225000.WAV,3,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:50:00Z,2025-05-19T22:50:00Z,32.6396792,-117.1111495
26018,Spectrogram 1,1,323671,323674,0,15000,Ridgway's Rail,ridrai1,0.862,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_225000.WAV,12,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:50:00Z,2025-05-19T22:50:00Z,32.6396792,-117.1111495
26020,Spectrogram 1,1,323680,323683,0,15000,Ridgway's Rail,ridrai1,0.4868,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_225000.WAV,21,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:50:00Z,2025-05-19T22:50:00Z,32.6396792,-117.1111495
26022,Spectrogram 1,1,323689,323692,0,15000,Ridgway's Rail,ridrai1,0.3837,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_225000.WAV,30,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T22:50:00Z,2025-05-19T22:50:00Z,32.6396792,-117.1111495
26082,Spectrogram 1,1,324386,324389,0,15000,Ridgway's Rail,ridrai1,0.2963,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_230300.WAV,12,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T23:03:00Z,2025-05-19T23:03:00Z,32.6396792,-117.1111495
26086,Spectrogram 1,1,324413,324416,0,15000,Ridgway's Rail,ridrai1,0.448,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_230300.WAV,39,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T23:03:00Z,2025-05-19T23:03:00Z,32.6396792,-117.1111495
26140,Spectrogram 1,1,325327,325330,0,15000,Ridgway's Rail,ridrai1,0.31,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_232000.WAV,18,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T23:20:00Z,2025-05-19T23:20:00Z,32.6396792,-117.1111495
26202,Spectrogram 1,1,326628,326631,0,15000,Ridgway's Rail,ridrai1,0.2568,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_234300.WAV,54,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T23:43:00Z,2025-05-19T23:43:00Z,32.6396792,-117.1111495
26204,Spectrogram 1,1,326632,326635,0,15000,Ridgway's Rail,ridrai1,0.41,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_234400.WAV,3,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T23:44:00Z,2025-05-19T23:44:00Z,32.6396792,-117.1111495
26234,Spectrogram 1,1,327072,327075,0,15000,Ridgway's Rail,ridrai1,0.702,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_235200.WAV,3,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T23:52:00Z,2025-05-19T23:52:00Z,32.6396792,-117.1111495
26236,Spectrogram 1,1,327078,327081,0,15000,Ridgway's Rail,ridrai1,0.8539,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_235200.WAV,9,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T23:52:00Z,2025-05-19T23:52:00Z,32.6396792,-117.1111495
26238,Spectrogram 1,1,327111,327114,0,15000,Ridgway's Rail,ridrai1,0.6377,D:\Rails\recordings\SPP-1N\SPP-1N_48c_20250515\249C600363FA8048_20250519_235200.WAV,42,SPP-1N_48c_20250515,SPP,1N,48c,2025-05-19T23:52:00Z,2025-05-19T23:52:00Z,32.6396792,-117.1111495
